FieldPatchID,SiteName,SurveyDate,SiteNumber,SitePatchNumber,SpeciesID,Coordinates,NatCommType,Elevation,PatchSize,NumberClumps,ClumpDensity,Percent Canopy Cover,MicroSlope,MicroAspect,MicroHillslopeForm,MacroSlope,MacroAspect,MacroHillslopeForm,HillslopePosition,AvgLitterDepth,AvgDepth0 ,AvgDepthA ,AvgDepthB,AvgSoilDepth,FieldpH,SoilTexComp
P1.1,FarrellWoods,7/6/2016,1,1.1,P,"44.28627, -72.58031",RNHF,231,52,30,0.576923077,85.44,30,110,LC,27,102,CC,Bs,4,3.75,13,NA,27,6.5,sandy loam/sandy clay loam
P2.1,FarrellWoods,16/6/2016,1,1.2,P,"44.285929, -72.579581",RNHF,224.59,509.5,92,0.180569185,88.82,31,102,"LV, VV, CC, LL",29,108,CC,Sh/Bs,2,2.75,7,10.16,27.3,6.5,loam/clay loam
P3.1,ChapelWoods,20/6/2016,2,2.1,P,"44.30490, -72.51934",RNHF,384,31,5,0.161290323,88.82,5,211,LC,7.5,90,CC,Bs,2.8,3.25,10,NA,5.625,7,loam
P3.2A,ChapelWoods,21/6/2016,2,2.2,P,"44.30450, -72.51974",RNHF,379,44,30,0.681818182,87.26,7,179,VV,10,292,CC,Ts,1.25,2.5,5.9,4.9,7.2,7,loam/clay loam
P4.1A,ElmoreSP,23/6/2016,3,3.1,P,"44.53037, -72.54168",RNHF,594,26,22,0.846153846,85.7,3,70,CC,15,94,CC,Ts,3.5,3,13.66,7,10,6.5,clay loam
P5.1,CoolidgeSF,3/7/2016,4,4.1,P,"43.55442, -72.76347",RNHF,575,39.25,31,0.789808917,87.52,24,76,VV,22,70,CC,Sh/Bs,2.5,1.3125,7.875,9.3,11.3125,6.5,loam
P5.2,CoolidgeSF,4/7/2016,4,4.2,P,"43.55691,-72.76359",RNHF,562,90,71,0.788888889,86.22,19,82,LV,18,66,LC,Bs,2.5,0.875,7.285714286,7.07,17.4,6.5,loam/clay loam
V1.1,MineralSpringsKnob,"5/7/2016, 6/7/2016",5,5.1,V,"44.86280, -72.41673",Serpentine Outcrop,263,150,91,0.606666667,74.78,36,148,"LC, LV",60,130,LC,Bs/Ts,1.5,1.25,3.093,NA,3.766666667,7,loam/sandy loam
V1.2,MineralSpringsKnob,"7/7/2016, 11/7/2016",5,5.2,V,"44.86346, -72.41615",Serpentine Forest,269,75,35,0.466666667,83.36,24,64,"LC, LV, LL",26,50,LC,Bs/Ts,4,2.15,3.75,2.5,6.227272727,6.5,loam/clay loam
A1.1,MineralSpringsKnob,29/8/2016,5,5.3,A,"44.86296, -72.41655",Serpentine Outcrop,265.2,8,25,3.125,77.64,5,140,LC,38,151,LC,Sh/Bs,2.571428571,1.5,3.642857143,1,4.857142857,NA,NA
P6.1,BrownsLedges,13/7/2016,6,6.1,P,"44.83243, -72.45392",Serpentine-Influenced RNHF,463,1200,55,0.045833333,89.08,42,84,"LV, LC",39,90,LC,Bs/Fs,1.5,2.25,5.4,NA,5.85,6.5,loam
V2.1,BrownsLedges,14/7/2016,6,6.2,V,"44.82899, -72.45531",Serpentine Outcrop,420,29,22,0.75862069,71.14,44,173,"LC, LL",54,175,LC,Bs,3.791666667,1.1,2.818181818,NA,3.3,6.5,NA
V2.2,BrownsLedges,"1/8/2016, 2/8/2016",6,6.3,V,"44.82944, -72.45465",Serpentine Outcrop,428,36,14,0.388888889,75.04,49,129,"LL, LC",52,108,LC,Sh/Bs,2.44,2.66,3.3,NA,4.22,6.75,NA
V2.3,BrownsLedges,3/8/2016,6,6.4,V,"44.83096, -72.45900",Serpentine Outcrop,453,282.6,65,0.230007077,76.86,43,118,"LV,LL",60,110,LC,Bs,2.8125,3.666666667,3.333333333,NA,4.75,6.75,clay loam
A2.1,BrownsLedges,24/8/2016,6,6.5,A,"44.82948, -72.45616",Serpentine Outcrop,450.7991856,3.25,10,3.076923077,84.66,16,344,LC,49,240,LC,Bs,2.11,2.22,3.75,NA,5.11,6.75,clay loam
