SitePatch,SpeciesID,Elevation,PercentCanopyCover,MicroSlope,MicroAspect,MacroSlope,MacroAspect,AvgLitterDepth,AvgDepthO,AvgDepthA ,AvgDepthB,AvgSoilDepth,pH,Ompct,P,K,Ca,Mg,Zn,B,Mn,Cu,Fe,Al,Na,S,ExchAcid,ECEC,CaBaseSat,MgBaseSat,KBaseSat,Pb,Ni,Cd,Cr
1.1,P,231,85.44,30,110,27,102,4,3.75,13,NA,27,4.8,3.965,2.4,36,154,25,1.55,0.2,10.3,0.2,24.9,343,9,20,7.06,1.07,9.47,2.56,1.14,NA,NA,NA,NA
1.2,P,224.59,88.82,31,102,29,108,2,2.75,7,10.16,27.3,4.89,6.24,2.05,60,406,74,8.2,0.25,49.8,0.2,27.6,125,87,17,6.39,2.8,22.09,6.71,1.67,NA,NA,NA,NA
2.1,P,384,88.82,5,211,7.5,90,2.8,3.25,10,NA,5.625,6.1,8.606,1.1,34,2010,89,3.6,0.15,30,0.1,2.5,25,13,6,2.71,10.88,73.96,5.46,0.64,NA,NA,NA,NA
2.2,P,379,87.26,7,179,10,292,1.25,2.5,5.9,4.9,7.2,6.06,4.966,1.05,34,1525,67,3,0.2,12.4,0.15,5.2,79,9,9,2.28,8.27,72.25,5.29,0.83,NA,NA,NA,NA
3.1,P,594,85.7,3,70,15,94,3.5,3,13.66,7,10,5.47,11.518,1.1,24,458,40,2.25,0.1,21.2,0.4,7.2,549,12,14,7.38,2.68,22.75,3.31,0.61,NA,NA,NA,NA
4.1,P,575,87.52,24,76,22,70,2.5,1.3125,7.875,9.3,11.3125,5.82,4.966,0.9,44,989,128,2.05,0.15,12.9,0.1,9.5,60,6,4,2.96,6.12,54.44,11.74,1.24,NA,NA,NA,NA
4.2,P,562,86.22,19,82,18,66,2.5,0.875,7.285714286,7.07,17.4,5.85,5.33,0.95,32,1407,109,2.7,0.15,16.5,0.15,4.4,25,7,4,2.8,8.03,64.99,8.39,0.76,NA,NA,NA,NA
5.1,V,263,74.78,36,148,60,130,1.5,1.25,3.093,NA,3.766666667,6.72,13.884,3.5,60,531,1806,1.05,0.8,13.9,0.1,1.9,4,10,6,1.8,17.86,13.51,76.56,0.78,0.65,3.9,0.1,0.3
5.2,V,269,83.36,24,64,26,50,4,2.15,3.75,2.5,6.227272727,5.62,13.793,3.2,81,464,1363,5.1,0.25,34.8,0.1,9,15,12,8,5.26,13.89,12.12,59.34,1.08,0.7,9.9,0.15,0.45
5.3,A&V,265.2,77.64,5,140,38,151,2.571428571,1.5,3.642857143,1,4.857142857,5.65,20.163,3.5,87,401,1415,2.15,0.1,18,0.1,27.2,19,11,8,6.51,14.02,9.76,57.43,1.09,1.25,7.2,0.1,0.75
